,Adj Close,Adj Close,Adj Close,Adj Close
,ftse, dax ,spx ,nikkei
Date,,,,
2018-12-03,7062.39990234375,11465.4599609375,2790.3701171875,22574.759765625
2018-12-04,7022.7998046875,11335.3203125,2700.06005859375,22036.05078125
2018-12-05,6921.7998046875,11200.240234375,2700.06005859375,21919.330078125
2018-12-06,6704.10009765625,10810.98046875,2695.949951171875,21501.619140625
2018-12-07,6778.10009765625,10788.08984375,2633.080078125,21678.6796875
2018-12-10,6721.5,10622.0703125,2637.719970703125,21219.5
2018-12-11,6806.89990234375,10780.509765625,2636.780029296875,21148.01953125
2018-12-12,6880.2001953125,10929.4296875,2651.070068359375,21602.75
2018-12-13,6877.5,10924.7001953125,2650.5400390625,21816.189453125
2018-12-14,6845.2001953125,10865.76953125,2599.949951171875,21374.830078125
2018-12-17,6773.2001953125,10772.2001953125,2545.93994140625,21506.880859375
2018-12-18,6701.60009765625,10740.8896484375,2546.159912109375,21115.44921875
2018-12-19,6765.89990234375,10766.2099609375,2506.9599609375,20987.919921875
2018-12-20,6711.89990234375,10611.099609375,2467.419921875,20392.580078125
2018-12-21,6721.2001953125,10633.8203125,2416.6201171875,20166.189453125
2018-12-24,6686.0,10633.8203125,2351.10009765625,20166.189453125
2018-12-25,6686.0,10633.8203125,2351.10009765625,19155.740234375
2018-12-26,6686.0,10633.8203125,2467.699951171875,19327.060546875
2018-12-27,6584.7001953125,10381.509765625,2488.830078125,20077.619140625
2018-12-28,6734.0,10558.9599609375,2485.739990234375,20014.76953125
2018-12-31,6728.10009765625,10558.9599609375,2506.85009765625,20014.76953125
2019-01-01,6728.10009765625,10558.9599609375,2506.85009765625,20014.76953125
2019-01-02,6734.2001953125,10580.1904296875,2510.030029296875,20014.76953125
2019-01-03,6692.7001953125,10416.66015625,2447.889892578125,20014.76953125
2019-01-04,6837.39990234375,10767.6904296875,2531.93994140625,19561.9609375
2019-01-07,6810.89990234375,10747.8095703125,2549.68994140625,20038.970703125
2019-01-08,6861.60009765625,10803.98046875,2574.409912109375,20204.0390625
2019-01-09,6906.60009765625,10893.3203125,2584.9599609375,20427.060546875
2019-01-10,6942.89990234375,10921.58984375,2596.639892578125,20163.80078125
2019-01-11,6918.2001953125,10887.4599609375,2596.260009765625,20359.69921875
2019-01-14,6855.0,10855.91015625,2582.610107421875,20359.69921875
2019-01-15,6895.0,10891.7900390625,2610.300048828125,20555.2890625
2019-01-16,6862.7001953125,10931.240234375,2616.10009765625,20442.75
2019-01-17,6834.89990234375,10918.6201171875,2635.9599609375,20402.26953125
2019-01-18,6968.2998046875,11205.5400390625,2670.7099609375,20666.0703125
2019-01-21,6970.60009765625,11136.2001953125,2670.7099609375,20719.330078125
2019-01-22,6901.39990234375,11090.1103515625,2632.89990234375,20622.91015625
2019-01-23,6842.89990234375,11071.5400390625,2638.699951171875,20593.720703125
2019-01-24,6819.0,11130.1796875,2642.330078125,20574.630859375
2019-01-25,6809.2001953125,11281.7900390625,2664.760009765625,20773.560546875
2019-01-28,6747.10009765625,11210.3095703125,2643.85009765625,20649.0
2019-01-29,6833.89990234375,11218.830078125,2640.0,20664.640625
2019-01-30,6941.60009765625,11181.66015625,2681.050048828125,20556.5390625
2019-01-31,6968.89990234375,11173.099609375,2704.10009765625,20773.490234375
2019-02-01,7020.2001953125,11180.66015625,2706.530029296875,20788.390625
2019-02-04,7034.10009765625,11176.580078125,2724.8701171875,20883.76953125
2019-02-05,7177.39990234375,11367.98046875,2737.699951171875,20844.44921875
2019-02-06,7173.10009765625,11324.7197265625,2731.610107421875,20874.060546875
2019-02-07,7093.60009765625,11022.01953125,2706.050048828125,20751.279296875
2019-02-08,7071.2001953125,10906.7802734375,2707.8798828125,20333.169921875
2019-02-11,7129.10009765625,11014.58984375,2709.800048828125,20333.169921875
2019-02-12,7133.10009765625,11126.080078125,2744.72998046875,20864.2109375
2019-02-13,7190.7998046875,11167.2197265625,2753.030029296875,21144.48046875
2019-02-14,7197.0,11089.7900390625,2745.72998046875,21139.7109375
2019-02-15,7236.7001953125,11299.7998046875,2775.60009765625,20900.630859375
2019-02-18,7219.5,11299.2001953125,2775.60009765625,21281.849609375
2019-02-19,7179.2001953125,11309.2099609375,2779.760009765625,21302.650390625
2019-02-20,7228.60009765625,11401.9697265625,2784.699951171875,21431.490234375
2019-02-21,7167.39990234375,11423.2802734375,2774.8798828125,21464.23046875
2019-02-22,7178.60009765625,11457.7001953125,2792.669921875,21425.509765625
2019-02-25,7183.7001953125,11505.3896484375,2796.110107421875,21528.23046875
2019-02-26,7151.10009765625,11540.7900390625,2793.89990234375,21449.390625
2019-02-27,7107.2001953125,11487.330078125,2792.3798828125,21556.509765625
2019-02-28,7074.7001953125,11515.6396484375,2784.489990234375,21385.16015625
2019-03-01,7106.7001953125,11601.6796875,2803.68994140625,21602.689453125
2019-03-04,7134.39990234375,11592.66015625,2792.81005859375,21822.0390625
2019-03-05,7183.39990234375,11620.740234375,2789.64990234375,21726.279296875
2019-03-06,7196.0,11587.6298828125,2771.449951171875,21596.810546875
2019-03-07,7157.60009765625,11517.7998046875,2748.929931640625,21456.009765625
2019-03-08,7104.2998046875,11457.83984375,2743.070068359375,21025.560546875
2019-03-11,7130.60009765625,11543.48046875,2783.300048828125,21125.08984375
2019-03-12,7151.2001953125,11524.169921875,2791.52001953125,21503.689453125
2019-03-13,7159.2001953125,11572.41015625,2810.919921875,21290.240234375
2019-03-14,7185.39990234375,11587.4697265625,2808.47998046875,21287.01953125
2019-03-15,7228.2998046875,11685.6904296875,2822.47998046875,21450.849609375
2019-03-18,7299.2001953125,11657.0595703125,2832.93994140625,21584.5
2019-03-19,7324.0,11788.41015625,2832.570068359375,21566.849609375
2019-03-20,7291.0,11603.8896484375,2824.22998046875,21608.919921875
2019-03-21,7355.2998046875,11549.9599609375,2854.8798828125,21608.919921875
2019-03-22,7207.60009765625,11364.169921875,2800.7099609375,21627.33984375
2019-03-25,7177.60009765625,11346.650390625,2798.360107421875,20977.109375
2019-03-26,7196.2998046875,11419.48046875,2818.4599609375,21428.390625
